,0
loancurrentdaysdelinquent,0.30665020396916765
lp_grossprincipalloss,0.17591483798740154
loanfirstdefaultedcyclenumber,0.16740589899642103
lp_netprincipalloss,0.13829477768455745
loannumber,0.030709715999017666
lp_collectionfees,0.025501453925070937
loanmonthssinceorigination,0.019885291153919828
lp_customerprincipalpayments,0.015032559351771772
estimatedreturn,0.013474292932997805
prosperrating_numeric,0.013344832698831143
estimatedeffectiveyield,0.012956680909178914
lp_customerpayments,0.008608036991400055
prosperscore,0.008290157713142461
lp_nonprincipalrecoverypayments,0.007136891986308335
estimatedloss,0.0066103602589979845
investors,0.005926472028682775
borrowerrate,0.0050906593269617805
creditscorerangelower,0.002863961980849356
creditscorerangeupper,0.002630627924657071
lp_interestandfees,0.0025894330165512312
borrowerapr,0.0025437652474138454
lenderyield,0.0024209270822299314
lp_servicefees,0.0021033889272430105
monthlyloanpayment,0.0015000340903311635
revolvingcreditbalance,0.001408646944077381
availablebankcardcredit,0.0014066643241609656
loanoriginalamount,0.0011615924176910858
installment_to_income_ratio,0.0011440893789038242
openrevolvingmonthlypayment,0.0010640203960046797
log_loan_amount,0.0010504493831578752
