,auc,precision,recall,f1,cm
logistic,0.9973650344698641,0.9873757722266989,0.9633123689727463,0.9751956492903568,"[[18925    47]
 [  140  3676]]"
random_forest,1.0,1.0,1.0,1.0,"[[18972     0]
 [    0  3816]]"
